"gene_id","GEL_AT_immature_top_leaf_R1","GEL_AU_immature_top_leaf_R2","GEL_AV_immature_top_leaf_R3","GEL_AW_mature_middle_leaf_R1","GEL_AX_mature_middle_leaf_R2","GEL_AY_mature_middle_leaf_R3","GEL_AZ_mature_bottom_leaf_R1","GEL_BA_mature_bottom_leaf_R2","GEL_BB_mature_bottom_leaf_R3","GEL_BC_immature_top_stem_R1","GEL_BD_immature_top_stem_R2","GEL_BE_immature_top_stem_R3","GEL_BI_primary_root_R1","GEL_BJ_primary_root_R2","GEL_BK_primary_root_R3","GEL_BL_secondary_root_R1","GEL_BM_secondary_root_R2","GEL_BN_secondary_root_R3"
"Gelse.v1.S248980.1",0.0404875,0,0,0.184107,0.0455044,0.523303,0.152709,0.140972,0.217394,0.378061,0.637669,2.14882,0.619371,0.998772,0.412855,0.565686,0.641294,0.606544
"Gelse.v1.S004840.1",8.58406,4.01179,13.4605,0.633762,0.71094,0.431095,0,0.344861,0.141437,19.7187,24.4786,4.6307,16.2724,17.9377,12.7789,14.4176,19.9276,13.7446
"Gelse.v1.S014490.1",0,0,0,0,0.805993,0,0,0,0,0,0,0,0,0,1.2803,0,0,0
"Gelse.v1.S185860.2",0.170385,0.0223844,0.385467,0.141195,0.0762884,0,0.0956673,0,0,0.635244,0.756916,0.650562,0,0.0282869,0.0246916,0.0950265,0.0743258,0.0636624
"Gelse.v1.S288380.1",0,1.24912e-8,0,0.0106888,1.98256e-7,0.0760527,0,0,0.0267723,0,0,0.0487862,0,0,0,0,0.14552,0
"Gelse.v1.S014050.1",0,0.579137,0.833028,0,0.636505,0,0,0,0.750685,2.19384,3.64735,0,0,0.347552,0,0.40657,0,0
"Gelse.v1.S220300.1",15.8423,8.64038,15.7387,17.0125,19.2387,18.0086,27.9008,26.0631,25.6118,14.2182,15.3287,15.7484,17.8336,20.0212,15.6739,14.6015,20.9708,17.4671
"Gelse.v1.S088270.3",14.2565,6.68733,33.083,1.83697,1.60428,2.0604,0.569339,0.856589,0.608351,39.7418,19.5563,44.05,43.3204,37.7465,35.799,43.8687,19.6774,37.0029
"Gelse.v1.S092530.1",28.3409,18.0529,36.3239,13.1582,12.7377,12.8467,12.5546,13.589,11.9485,25.4868,27.5902,27.0976,7.86147,4.75231,5.37071,10.8206,4.62473,9.83883
"Gelse.v1.S092650.1",1.04217,0.699712,0.944159,6.54224,8.57063,14.6722,13.9699,15.9217,12.9179,1.20932,4.02859,0.509113,1.44461,1.72419,2.29173,1.14872,4.25034,2.36893
